gmail.com 1 762
fer.io 2 101
numenta.org 3 78
numenta.com 4 58
hotmail.com 5 55
groksolutions.com 6 40
cpsc.ucalgary.ca 7 10
Davids-iMac.local 8 10
users.noreply.github.com 9 4
keithcom.com 10 4
